IssueID,Severity,Location,Problem,Recommendation,Effort,Dependencies,AcceptanceCriteria,Status
ISS-001,High,Header (Desktop / Tablet: 781px–1050px),Navigation links crowd together with 12px font size before mobile hamburger triggers at 780px,Adjust mobile navigation breakpoint to 980px or reduce intermediate desktop gap,Medium (2-3h),None,Navigation links maintain minimum 20px padding and 14px font without collision,Resolved (Verified)
ISS-002,Medium,Product Cards & Articles (.card small),10px–11px font size on mobile viewports falls below recommended 12px accessibility readability floor,Enforce minimum 12px floor for all tertiary labels and metadata using --font-data,Low (1h),tokens.css,No text node renders below 12px computed font size across all breakpoints,Resolved (Verified)
ISS-003,High,Inquiry Form (src/components/shop/order-form.tsx),Submission validation errors display visually but lack role='alert' / aria-live='assertive' announcement for screen readers,Add role='alert' and aria-describedby to invalid field inputs,Medium (2h),fixing-accessibility skill,Screen readers immediately announce error summary and focus first invalid input,Resolved (Verified)
ISS-004,Medium,Inquiry Customization Stepper (360px–390px),Step labels wrap awkwardly on narrow mobile screens causing uneven vertical height,Implement responsive step counter ('Step 1 of 4') on screens under 420px with compact progress indicator,Medium (2h),mobile-native skill,Stepper occupies clean single-line bar without text clipping on 360px viewport,Resolved (Verified)
ISS-005,Low,Storefront Curated Grid (781px–1024px),Curated grid transitions abruptly from 3 columns to 1 column at 780px without a 2-column tablet intermediate,Introduce 2-column grid between 780px and 1024px with staggered margin-top reset,Low (1-2h),shop.module.css,Tablet viewports display balanced 2-column cards with consistent vertical rhythm,Resolved (Verified)
ISS-006,Medium,Product Details (Furniture & Spatial Pieces),Lacks immediate visual scale indicator (human silhouette or room reference) to gauge multi-meter resin tables,Add proportional scale badge and dimension diagram tab in specifications drawer,Medium (3h),Product metadata,Product detail displays clear human/room scale comparison next to written dimensions,Resolved (Verified)
ISS-007,High,Search Dialog Modal,Modal input does not auto-focus on open and lacks dedicated tap-outside dismiss buffer on mobile touch,Add autoFocus to search input upon transition end and 48px touch-dismiss backdrop,Medium (2h),web-design-guidelines,Search input receives instant keyboard focus and backdrop click reliably dismisses modal,Resolved (Verified)
ISS-008,Medium,Category Rows (360px Viewport),Category tags wrap across multiple lines pushing the arrow indicator outside visible row boundary,Refactor categoryRow grid to 2-tier flexible layout for viewports under 400px,Low (1-2h),shop.module.css,Category row content wraps cleanly within viewport without horizontal scroll,Resolved (Verified)
ISS-009,Medium,Studio Content Editor (1024px–1200px),WYSIWYG editor toolbar in Tiptap content editor unpins on small laptop screens causing excessive vertical scrolling,Make formatting toolbar sticky (top: var(--header-height)) with backdrop-filter blur,Medium (2-3h),studio-content.module.css,Rich-text toolbar remains accessible throughout long article edits on all laptop viewports,Resolved (Verified)
ISS-010,Low,Next.js Image Sizes Attributes,Hero and world card sizes attribute allocates 90vw on tablet where CSS container renders at 45vw,Fine-tune sizes string to match exact CSS container widths at 768px and 1024px,Low (1h),image-sizes.ts,Browser downloads correctly scaled responsive image derivatives without byte waste,Resolved (Verified)
ISS-011,High,Keyboard Focus Rings (All Interactive Cards),Certain dark elevated cards rely on browser default focus outlines which have low contrast on midnight backgrounds,Apply uniform outline: 2px solid var(--focus-on-dark) with outline-offset: 4px across all links and buttons,Low (1-2h),globals.css,Keyboard navigation shows crisp #E6BA85 focus ring on 100% of interactive elements,Resolved (Verified)
ISS-012,Medium,Studio Kanban Board (Touch Interaction),Order card grip handle ⠿ lacks clear touch dragging visual feedback on iPad and touch displays,Add subtle elevated lift and active shadow when touch-pointer capture initiates on drag handle,Medium (2h),studio-private.css,Touch dragging provides immediate visual card lift and drop target highlight,Resolved (Verified)
ISS-013,Medium,Studio Form Builder (Accessibility),Question reordering in form builder is mouse-only with no keyboard Tab + Arrow key alternative,Add accessible 'Move Up' and 'Move Down' keyboard actions to question items,Medium (3h),fixing-accessibility skill,Staff can fully reorder and configure form schema using keyboard only,Resolved (Verified)
ISS-014,Low,Footer Legal Links (360px Viewport),Footer copyright and legal links wrap into tightly squeezed 2-line stacks on narrow mobile screens,Reorganize footerBottom into full-width stacked column on screens under 380px,Low (1h),shop.module.css,Footer links have minimum 44px tap area and clean vertical alignment on 360px viewport,Resolved (Verified)
ISS-015,Medium,WhatsApp Handoff (Clipboard Fallback),If customer browser denies clipboard permissions the fallback manual copy textarea lacks one-click 'Select All' button,Add 'Select All Text' helper button to make manual copy frictionless on mobile iOS/Android,Low (1h),saved-order-actions.tsx,Customer can copy entire 800+ character brief in two taps when clipboard API is restricted,Resolved (Verified)
